date,AE33,AE36,MAAP,orden
2026-08-02T17:35:00Z,50.2777777777778,19.669491525423698,100,13939
2026-08-02T17:40:00Z,50.2777777777778,19.669491525423698,40,13940
2026-08-02T17:45:00Z,50.2777777777778,19.669491525423698,560,13941
2026-08-02T17:50:00Z,50.2777777777778,19.669491525423698,410.00000000000006,13942
2026-08-02T17:55:00Z,50.2777777777778,19.669491525423698,40,13943
2026-08-02T18:00:00Z,50.2777777777778,19.669491525423698,0,13944
2026-08-02T18:05:00Z,50.2777777777778,19.669491525423698,190,13945
2026-08-02T18:10:00Z,50.2777777777778,19.669491525423698,90,13946
2026-08-02T18:15:00Z,50.2777777777778,19.669491525423698,60,13947
2026-08-02T18:20:00Z,50.2777777777778,19.669491525423698,10,13948
2026-08-02T18:25:00Z,50.2777777777778,19.669491525423698,40,13949
2026-08-02T18:30:00Z,57.66432748538009,19.669491525423698,10,13950
2026-08-02T18:35:00Z,87.2105263157895,19.669491525423698,0,13951
2026-08-02T18:40:00Z,87.2105263157895,19.669491525423698,0,13952
2026-08-02T18:45:00Z,87.2105263157895,19.669491525423698,10,13953
2026-08-02T18:50:00Z,87.2105263157895,19.669491525423698,20,13954
2026-08-02T18:55:00Z,87.2105263157895,19.669491525423698,40,13955
2026-08-02T19:00:00Z,87.2105263157895,27.748093220338994,10,13956
2026-08-02T19:05:00Z,87.2105263157895,60.06250000000001,30,13957
2026-08-02T19:10:00Z,59.77782754759239,60.06250000000001,0,13958
2026-08-02T19:15:00Z,41.4893617021277,60.06250000000001,60,13959
2026-08-02T19:20:00Z,41.4893617021277,126.8,0,13960
2026-08-02T19:25:00Z,41.4893617021277,126.8,0,13961
2026-08-02T19:30:00Z,41.4893617021277,969.2,0,13962
2026-08-02T19:35:00Z,41.4893617021277,168.125,0,13963
2026-08-02T19:40:00Z,41.4893617021277,170.360714285714,50,13964
2026-08-02T19:45:00Z,41.4893617021277,173.71428571428595,20,13965
2026-08-02T19:50:00Z,41.4893617021277,96.8,0,13966
2026-08-02T19:55:00Z,41.4893617021277,96.8,10,13967
2026-08-02T20:00:00Z,41.4893617021277,216,0,13968
2026-08-02T20:05:00Z,41.4893617021277,259,20,13969
2026-08-02T20:10:00Z,41.4893617021277,546.5,20,13970
2026-08-02T20:15:00Z,41.4893617021277,602.62,90,13971
2026-08-02T20:20:00Z,41.4893617021277,142.3,280,13972
2026-08-02T20:25:00Z,41.4893617021277,142.3,10,13973
2026-08-02T20:30:00Z,41.4893617021277,142.3,0,13974
2026-08-02T20:35:00Z,41.4893617021277,142.3,0,13975
2026-08-02T20:40:00Z,41.4893617021277,142.3,0,13976
2026-08-02T20:45:00Z,101.89787234042598,303.78,0,13977
2026-08-02T20:50:00Z,117,325.05,30,13978
2026-08-02T20:55:00Z,117,177.75,10,13979
2026-08-02T21:00:00Z,117,1528.6,10,13980
2026-08-02T21:05:00Z,117,606.9272727272729,0,13981
2026-08-02T21:10:00Z,60.5851851851852,277.909090909091,0,13982
2026-08-02T21:15:00Z,46.48148148148148,277.909090909091,0,13983
2026-08-02T21:20:00Z,46.48148148148148,277.909090909091,10,13984
2026-08-02T21:25:00Z,46.48148148148148,294.14545454545504,30,13985
2026-08-02T21:30:00Z,46.48148148148148,198.2,20,13986
2026-08-02T21:35:00Z,46.48148148148148,1105.6,10,13987
2026-08-02T21:40:00Z,46.48148148148148,294.2125,30,13988
2026-08-02T21:45:00Z,46.48148148148148,125.6875,10,13989
2026-08-02T21:50:00Z,46.48148148148148,125.6875,40,13990
2026-08-02T21:55:00Z,46.48148148148148,190.61249999999998,40,13991
2026-08-02T22:00:00Z,46.48148148148148,140.09032258064502,70,13992
2026-08-02T22:05:00Z,46.48148148148148,41.48387096774189,30,13993
2026-08-02T22:10:00Z,46.48148148148148,41.48387096774189,20,13994
2026-08-02T22:15:00Z,46.48148148148148,41.48387096774189,70,13995
2026-08-02T22:20:00Z,46.48148148148148,41.48387096774189,120.00000000000001,13996
2026-08-02T22:25:00Z,46.48148148148148,41.48387096774189,90,13997
2026-08-02T22:30:00Z,32.22017879948911,35.758615263572004,20,13998
2026-08-02T22:35:00Z,22.71264367816089,27.1707317073171,0,13999
2026-08-02T22:40:00Z,22.71264367816089,27.1707317073171,40,14000
2026-08-02T22:45:00Z,22.71264367816089,27.1707317073171,10,14001
2026-08-02T22:50:00Z,22.71264367816089,27.1707317073171,0,14002
2026-08-02T22:55:00Z,22.71264367816089,27.1707317073171,10,14003
2026-08-02T23:00:00Z,22.71264367816089,27.1707317073171,10,14004
2026-08-02T23:05:00Z,22.71264367816089,27.1707317073171,20,14005
2026-08-02T23:10:00Z,22.71264367816089,27.762901155327295,0,14006
2026-08-02T23:15:00Z,22.71264367816089,30.131578947368403,0,14007
2026-08-02T23:20:00Z,22.71264367816089,30.131578947368403,10,14008
2026-08-02T23:25:00Z,22.71264367816089,30.131578947368403,30,14009
2026-08-02T23:30:00Z,22.71264367816089,30.131578947368403,20,14010
2026-08-02T23:35:00Z,22.71264367816089,30.131578947368403,0,14011
2026-08-02T23:40:00Z,22.71264367816089,30.131578947368403,10,14012
2026-08-02T23:45:00Z,22.71264367816089,30.131578947368403,30,14013
2026-08-02T23:50:00Z,22.71264367816089,32.65263157894739,30,14014
2026-08-02T23:55:00Z,22.71264367816089,34.3333333333333,20,14015
2026-08-03T00:00:00Z,19.435028248587596,34.3333333333333,10,14016
2026-08-03T00:05:00Z,19.435028248587596,34.3333333333333,0,14017
2026-08-03T00:10:00Z,19.435028248587596,250.13658536585396,10,14018
2026-08-03T00:15:00Z,19.435028248587596,52.170731707317096,20,14019
2026-08-03T00:20:00Z,19.435028248587596,52.170731707317096,0,14020
2026-08-03T00:25:00Z,19.435028248587596,52.170731707317096,10,14021
2026-08-03T00:30:00Z,19.435028248587596,52.170731707317096,10,14022
2026-08-03T00:35:00Z,19.435028248587596,52.170731707317096,0,14023
2026-08-03T00:40:00Z,19.435028248587596,52.170731707317096,0,14024
2026-08-03T00:45:00Z,19.435028248587596,52.170731707317096,0,14025
2026-08-03T00:50:00Z,19.435028248587596,35.51945547362449,0,14026
2026-08-03T00:55:00Z,19.435028248587596,24.418604651162795,0,14027
2026-08-03T01:00:00Z,19.435028248587596,24.418604651162795,0,14028
2026-08-03T01:05:00Z,19.435028248587596,24.418604651162795,0,14029
2026-08-03T01:10:00Z,19.435028248587596,24.418604651162795,10,14030
2026-08-03T01:15:00Z,19.435028248587596,24.418604651162795,0,14031
2026-08-03T01:20:00Z,19.435028248587596,24.418604651162795,0,14032
2026-08-03T01:25:00Z,19.435028248587596,24.418604651162795,10,14033
2026-08-03T01:30:00Z,19.435028248587596,24.418604651162795,10,14034
2026-08-03T01:35:00Z,19.435028248587596,75.5,10,14035
2026-08-03T01:40:00Z,19.435028248587596,75.5,10,14036
2026-08-03T01:45:00Z,19.435028248587596,100.48,10,14037
2026-08-03T01:50:00Z,19.435028248587596,179.005714285714,0,14038
2026-08-03T01:55:00Z,19.435028248587596,93.42857142857139,-10,14039
2026-08-03T02:00:00Z,19.435028248587596,93.42857142857139,10,14040
2026-08-03T02:05:00Z,19.435028248587596,109.65714285714299,0,14041
2026-08-03T02:10:00Z,19.435028248587596,134,0,14042
2026-08-03T02:15:00Z,19.435028248587596,41.9317073170732,0,14043
2026-08-03T02:20:00Z,19.435028248587596,18.9146341463415,20,14044
2026-08-03T02:25:00Z,19.435028248587596,18.9146341463415,20,14045
2026-08-03T02:30:00Z,19.435028248587596,18.9146341463415,0,14046
2026-08-03T02:35:00Z,19.435028248587596,18.9146341463415,0,14047
2026-08-03T02:40:00Z,19.435028248587596,18.9146341463415,10,14048
2026-08-03T02:45:00Z,19.435028248587596,18.9146341463415,40,14049
2026-08-03T02:50:00Z,19.435028248587596,18.9146341463415,50,14050
2026-08-03T02:55:00Z,17.792498430633998,18.9146341463415,0,14051
2026-08-03T03:00:00Z,15.328703703703699,18.9146341463415,10,14052
2026-08-03T03:05:00Z,15.328703703703699,18.9146341463415,30,14053
2026-08-03T03:10:00Z,15.328703703703699,18.9146341463415,10,14054
2026-08-03T03:15:00Z,15.328703703703699,18.9146341463415,0,14055
2026-08-03T03:20:00Z,15.328703703703699,18.9146341463415,20,14056
2026-08-03T03:25:00Z,15.328703703703699,18.9146341463415,10,14057
2026-08-03T03:30:00Z,15.328703703703699,18.9146341463415,10,14058
2026-08-03T03:35:00Z,15.328703703703699,15.8441933318416,10,14059
2026-08-03T03:40:00Z,15.328703703703699,11.238532110091699,0,14060
2026-08-03T03:45:00Z,15.328703703703699,11.238532110091699,0,14061
2026-08-03T03:50:00Z,15.328703703703699,11.238532110091699,0,14062
2026-08-03T03:55:00Z,15.328703703703699,11.238532110091699,10,14063
2026-08-03T04:05:00Z,15.328703703703699,11.238532110091699,0,14064
2026-08-03T04:10:00Z,15.328703703703699,11.238532110091699,0,14065
2026-08-03T04:15:00Z,15.328703703703699,11.238532110091699,10,14066
2026-08-03T04:20:00Z,15.328703703703699,11.238532110091699,10,14067
2026-08-03T04:25:00Z,15.328703703703699,11.238532110091699,0,14068
2026-08-03T04:30:00Z,15.328703703703699,11.238532110091699,10,14069
2026-08-03T04:35:00Z,15.328703703703699,11.238532110091699,0,14070
2026-08-03T04:40:00Z,15.328703703703699,11.238532110091699,0,14071
2026-08-03T04:45:00Z,15.328703703703699,11.238532110091699,0,14072
2026-08-03T04:50:00Z,15.328703703703699,11.238532110091699,10,14073
2026-08-03T04:55:00Z,15.328703703703699,11.238532110091699,10,14074
2026-08-03T05:00:00Z,15.328703703703699,11.238532110091699,10,14075
2026-08-03T05:05:00Z,15.328703703703699,11.238532110091699,0,14076
2026-08-03T05:10:00Z,15.328703703703699,11.238532110091699,0,14077
2026-08-03T05:15:00Z,15.328703703703699,11.238532110091699,10,14078
2026-08-03T05:20:00Z,15.328703703703699,11.238532110091699,20,14079
2026-08-03T05:25:00Z,15.328703703703699,15.098861119898798,10,14080
2026-08-03T05:30:00Z,15.328703703703699,17.6724137931034,0,14081
2026-08-03T05:35:00Z,15.328703703703699,17.6724137931034,0,14082
2026-08-03T05:40:00Z,15.328703703703699,17.6724137931034,0,14083
2026-08-03T05:45:00Z,15.328703703703699,17.6724137931034,10,14084
2026-08-03T05:50:00Z,15.328703703703699,17.6724137931034,10,14085
2026-08-03T05:55:00Z,15.328703703703699,17.6724137931034,0,14086
2026-08-03T06:00:00Z,15.328703703703699,17.6724137931034,0,14087
2026-08-03T06:05:00Z,15.328703703703699,17.6724137931034,0,14088
2026-08-03T06:10:00Z,15.328703703703699,17.6724137931034,0,14089
2026-08-03T06:15:00Z,15.328703703703699,17.6724137931034,0,14090
2026-08-03T06:20:00Z,15.328703703703699,17.6724137931034,20,14091
2026-08-03T06:25:00Z,15.328703703703699,74.8666666666667,20,14092
2026-08-03T06:30:00Z,24.7368760064412,74.8666666666667,0,14093
2026-08-03T06:35:00Z,62.3695652173913,74.8666666666667,0,14094
2026-08-03T06:40:00Z,62.3695652173913,16.147058823529402,0,14095
2026-08-03T06:45:00Z,62.3695652173913,16.147058823529402,10,14096
2026-08-03T06:50:00Z,62.3695652173913,16.147058823529402,10,14097
2026-08-03T06:55:00Z,62.3695652173913,16.147058823529402,10,14098
2026-08-03T07:00:00Z,62.3695652173913,16.147058823529402,10,14099
2026-08-03T07:05:00Z,62.3695652173913,16.147058823529402,10,14100
2026-08-03T07:10:00Z,62.3695652173913,16.147058823529402,10,14101
2026-08-03T07:15:00Z,62.3695652173913,16.147058823529402,0,14102
2026-08-03T07:20:00Z,403.6,16.147058823529402,0,14103
2026-08-03T07:25:00Z,403.6,16.147058823529402,10,14104
2026-08-03T07:30:00Z,162.04347826086996,16.147058823529402,10,14105
2026-08-03T07:35:00Z,162.04347826086996,16.147058823529402,10,14106
2026-08-03T07:40:00Z,162.04347826086996,16.147058823529402,0,14107
2026-08-03T07:45:00Z,162.04347826086996,15.569187675070001,0,14108
2026-08-03T07:50:00Z,1085.4927536231903,14.702380952381,0,14109
2026-08-03T07:55:00Z,1234,14.702380952381,20,14110
2026-08-03T08:00:00Z,625.4476190476189,14.702380952381,0,14111
2026-08-03T08:05:00Z,422.08571428571395,14.702380952381,0,14112
2026-08-03T08:10:00Z,407,14.702380952381,20,14113
2026-08-03T08:15:00Z,585.3,14.702380952381,0,14114
2026-08-03T08:20:00Z,808.9571428571429,14.702380952381,0,14115
2026-08-03T08:25:00Z,732.502857142857,14.702380952381,220,14116
2026-08-03T08:30:00Z,816.92,14.702380952381,230,14117
2026-08-03T08:35:00Z,593.88,14.702380952381,230,14118
2026-08-03T08:40:00Z,224.4,14.702380952381,80,14119
2026-08-03T08:45:00Z,224.4,14.702380952381,50,14120
2026-08-03T08:50:00Z,197.584,14.702380952381,20,14121
2026-08-03T08:55:00Z,157.36,14.702380952381,130,14122
2026-08-03T09:00:00Z,157.36,14.702380952381,1180.0000000000002,14123
2026-08-03T09:05:00Z,157.36,14.702380952381,810,14124
2026-08-03T09:10:00Z,157.36,18.3868347338936,120.00000000000001,14125
2026-08-03T09:15:00Z,424.816,20.843137254901997,270,14126
2026-08-03T09:20:00Z,721,20.843137254901997,250,14127
2026-08-03T09:25:00Z,632.2666666666671,20.843137254901997,370,14128
2026-08-03T09:30:00Z,537.8933333333341,20.843137254901997,500,14129
2026-08-03T09:35:00Z,272.8,20.843137254901997,350,14130
2026-08-03T09:40:00Z,272.8,20.843137254901997,440,14131
2026-08-03T09:45:00Z,279.12333333333305,20.843137254901997,339.99999999999994,14132
2026-08-03T09:50:00Z,304.41666666666697,20.843137254901997,110,14133
2026-08-03T09:55:00Z,304.41666666666697,20.843137254901997,180,14134
2026-08-03T10:00:00Z,363.283333333333,21.530882352941198,180,14135
2026-08-03T10:05:00Z,378,22.562499999999996,60,14136
2026-08-03T10:10:00Z,967.8,22.562499999999996,160,14137
2026-08-03T10:15:00Z,1040,22.562499999999996,80,14138
2026-08-03T10:20:00Z,1055.3,22.562499999999996,60,14139
